year,month,region_id,subregion_id,region,industry_id,subindustry_id,business_type,value
2008,November,3,,Manitoba,,1,Automobile dealers,177137
2011,January,3,,Manitoba,,1,Automobile dealers,182530
2011,February,3,,Manitoba,,1,Automobile dealers,193413
2009,March,3,,Manitoba,,1,Automobile dealers,194739
2009,November,3,,Manitoba,,1,Automobile dealers,195217
2008,January,3,,Manitoba,,1,Automobile dealers,197921
2009,December,3,,Manitoba,,1,Automobile dealers,200548
2008,February,3,,Manitoba,,1,Automobile dealers,201387
2012,January,3,,Manitoba,,1,Automobile dealers,201454
2008,October,3,,Manitoba,,1,Automobile dealers,205817
2012,February,3,,Manitoba,,1,Automobile dealers,207751
2010,December,3,,Manitoba,,1,Automobile dealers,214588
2009,April,3,,Manitoba,,1,Automobile dealers,215236
2008,August,3,,Manitoba,,1,Automobile dealers,217849
2008,September,3,,Manitoba,,1,Automobile dealers,218092
2009,September,3,,Manitoba,,1,Automobile dealers,218285
2009,August,3,,Manitoba,,1,Automobile dealers,219722
2013,January,3,,Manitoba,,1,Automobile dealers,223427
2009,June,3,,Manitoba,,1,Automobile dealers,224360
2009,May,3,,Manitoba,,1,Automobile dealers,224446
2008,June,3,,Manitoba,,1,Automobile dealers,224596
2013,February,3,,Manitoba,,1,Automobile dealers,226395
2012,December,3,,Manitoba,,1,Automobile dealers,227127
2009,October,3,,Manitoba,,1,Automobile dealers,229455
2009,July,3,,Manitoba,,1,Automobile dealers,233718
2010,October,3,,Manitoba,,1,Automobile dealers,235035
2011,November,3,,Manitoba,,1,Automobile dealers,235638
2008,July,3,,Manitoba,,1,Automobile dealers,236529
2011,December,3,,Manitoba,,1,Automobile dealers,237608
2008,March,3,,Manitoba,,1,Automobile dealers,238171
2010,November,3,,Manitoba,,1,Automobile dealers,239366
2014,February,3,,Manitoba,,1,Automobile dealers,242860
2010,March,3,,Manitoba,,1,Automobile dealers,247213
2013,December,3,,Manitoba,,1,Automobile dealers,248059
2011,October,3,,Manitoba,,1,Automobile dealers,248843
2010,April,3,,Manitoba,,1,Automobile dealers,250953
2012,November,3,,Manitoba,,1,Automobile dealers,251660
2010,September,3,,Manitoba,,1,Automobile dealers,254338
2012,April,3,,Manitoba,,1,Automobile dealers,257435
2015,February,3,,Manitoba,,1,Automobile dealers,258468
2014,January,3,,Manitoba,,1,Automobile dealers,258706
2008,May,3,,Manitoba,,1,Automobile dealers,259653
2008,April,3,,Manitoba,,1,Automobile dealers,260543
2011,July,3,,Manitoba,,1,Automobile dealers,260707
2011,September,3,,Manitoba,,1,Automobile dealers,261150
2010,August,3,,Manitoba,,1,Automobile dealers,261378
2011,April,3,,Manitoba,,1,Automobile dealers,262394
2011,May,3,,Manitoba,,1,Automobile dealers,262641
2012,September,3,,Manitoba,,1,Automobile dealers,262980
2010,May,3,,Manitoba,,1,Automobile dealers,264542
2015,January,3,,Manitoba,,1,Automobile dealers,266678
2012,June,3,,Manitoba,,1,Automobile dealers,270116
2018,February,3,,Manitoba,,1,Automobile dealers,270728
2012,March,3,,Manitoba,,1,Automobile dealers,271712
2011,March,3,,Manitoba,,1,Automobile dealers,271907
2012,May,3,,Manitoba,,1,Automobile dealers,272944
2011,August,3,,Manitoba,,1,Automobile dealers,274125
2010,June,3,,Manitoba,,1,Automobile dealers,276219
2012,October,3,,Manitoba,,1,Automobile dealers,276715
2012,August,3,,Manitoba,,1,Automobile dealers,277973
2013,March,3,,Manitoba,,1,Automobile dealers,278070
2014,December,3,,Manitoba,,1,Automobile dealers,279124
2013,November,3,,Manitoba,,1,Automobile dealers,280177
2011,June,3,,Manitoba,,1,Automobile dealers,282545
2010,July,3,,Manitoba,,1,Automobile dealers,283802
2012,July,3,,Manitoba,,1,Automobile dealers,283856
2013,September,3,,Manitoba,,1,Automobile dealers,290392
2014,November,3,,Manitoba,,1,Automobile dealers,302589
2016,December,3,,Manitoba,,1,Automobile dealers,307108
2016,January,3,,Manitoba,,1,Automobile dealers,308791
2013,July,3,,Manitoba,,1,Automobile dealers,310719
2013,August,3,,Manitoba,,1,Automobile dealers,313908
2013,October,3,,Manitoba,,1,Automobile dealers,315936
2015,December,3,,Manitoba,,1,Automobile dealers,320423
2016,February,3,,Manitoba,,1,Automobile dealers,323151
2017,February,3,,Manitoba,,1,Automobile dealers,331246
2017,December,3,,Manitoba,,1,Automobile dealers,332722
2014,March,3,,Manitoba,,1,Automobile dealers,334645
2014,October,3,,Manitoba,,1,Automobile dealers,335467
2015,April,3,,Manitoba,,1,Automobile dealers,341493
2013,April,3,,Manitoba,,1,Automobile dealers,342411
2013,June,3,,Manitoba,,1,Automobile dealers,344511
2014,June,3,,Manitoba,,1,Automobile dealers,345994
2013,May,3,,Manitoba,,1,Automobile dealers,346584
2014,August,3,,Manitoba,,1,Automobile dealers,346802
2015,November,3,,Manitoba,,1,Automobile dealers,348252
2017,January,3,,Manitoba,,1,Automobile dealers,349091
2018,January,3,,Manitoba,,1,Automobile dealers,349195
2016,October,3,,Manitoba,,1,Automobile dealers,352198
2015,March,3,,Manitoba,,1,Automobile dealers,353614
2014,April,3,,Manitoba,,1,Automobile dealers,359358
2015,August,3,,Manitoba,,1,Automobile dealers,362645
2014,July,3,,Manitoba,,1,Automobile dealers,363156
2015,May,3,,Manitoba,,1,Automobile dealers,365763
2016,July,3,,Manitoba,,1,Automobile dealers,366809
2016,November,3,,Manitoba,,1,Automobile dealers,367955
2014,September,3,,Manitoba,,1,Automobile dealers,368326
2015,June,3,,Manitoba,,1,Automobile dealers,368971
2014,May,3,,Manitoba,,1,Automobile dealers,372195
2016,May,3,,Manitoba,,1,Automobile dealers,379171
2015,October,3,,Manitoba,,1,Automobile dealers,382133
2016,September,3,,Manitoba,,1,Automobile dealers,383158
2015,September,3,,Manitoba,,1,Automobile dealers,384759
2016,April,3,,Manitoba,,1,Automobile dealers,386457
2016,March,3,,Manitoba,,1,Automobile dealers,386675
2018,April,3,,Manitoba,,1,Automobile dealers,388629
2016,August,3,,Manitoba,,1,Automobile dealers,389376
2015,July,3,,Manitoba,,1,Automobile dealers,391774
2017,November,3,,Manitoba,,1,Automobile dealers,393173
2018,May,3,,Manitoba,,1,Automobile dealers,401624
2017,October,3,,Manitoba,,1,Automobile dealers,406102
2017,July,3,,Manitoba,,1,Automobile dealers,406565
2016,June,3,,Manitoba,,1,Automobile dealers,407665
2017,June,3,,Manitoba,,1,Automobile dealers,408935
2017,September,3,,Manitoba,,1,Automobile dealers,416227
2018,March,3,,Manitoba,,1,Automobile dealers,417672
2017,April,3,,Manitoba,,1,Automobile dealers,422910
2017,August,3,,Manitoba,,1,Automobile dealers,451203
2017,March,3,,Manitoba,,1,Automobile dealers,456049
2017,May,3,,Manitoba,,1,Automobile dealers,477139
2010,February,12,,Saskatchewan,,1,Automobile dealers,193574
2011,February,12,,Saskatchewan,,1,Automobile dealers,202638
2010,January,12,,Saskatchewan,,1,Automobile dealers,206460
2011,January,12,,Saskatchewan,,1,Automobile dealers,214620
2012,February,12,,Saskatchewan,,1,Automobile dealers,234098
2012,January,12,,Saskatchewan,,1,Automobile dealers,236253
2010,December,12,,Saskatchewan,,1,Automobile dealers,243018
2010,October,12,,Saskatchewan,,1,Automobile dealers,244454
2015,February,12,,Saskatchewan,,1,Automobile dealers,247960
2011,December,12,,Saskatchewan,,1,Automobile dealers,256922
2010,May,12,,Saskatchewan,,1,Automobile dealers,257521
2010,November,12,,Saskatchewan,,1,Automobile dealers,259556
2010,March,12,,Saskatchewan,,1,Automobile dealers,259605
2015,January,12,,Saskatchewan,,1,Automobile dealers,261289
2010,September,12,,Saskatchewan,,1,Automobile dealers,264645
2011,July,12,,Saskatchewan,,1,Automobile dealers,266098
2013,February,12,,Saskatchewan,,1,Automobile dealers,267088
2010,April,12,,Saskatchewan,,1,Automobile dealers,268353
2011,November,12,,Saskatchewan,,1,Automobile dealers,268363
2014,February,12,,Saskatchewan,,1,Automobile dealers,268643
2010,July,12,,Saskatchewan,,1,Automobile dealers,270447
2011,April,12,,Saskatchewan,,1,Automobile dealers,272870
2011,May,12,,Saskatchewan,,1,Automobile dealers,276769
2010,August,12,,Saskatchewan,,1,Automobile dealers,277708
2011,March,12,,Saskatchewan,,1,Automobile dealers,277966
2011,October,12,,Saskatchewan,,1,Automobile dealers,278302
2013,January,12,,Saskatchewan,,1,Automobile dealers,280565
2011,September,12,,Saskatchewan,,1,Automobile dealers,284359
2010,June,12,,Saskatchewan,,1,Automobile dealers,285185
2016,January,12,,Saskatchewan,,1,Automobile dealers,289933
2016,December,12,,Saskatchewan,,1,Automobile dealers,290506
2012,March,12,,Saskatchewan,,1,Automobile dealers,293928
2016,February,12,,Saskatchewan,,1,Automobile dealers,294049
2013,December,12,,Saskatchewan,,1,Automobile dealers,296112
2013,March,12,,Saskatchewan,,1,Automobile dealers,296842
2014,January,12,,Saskatchewan,,1,Automobile dealers,297057
2011,August,12,,Saskatchewan,,1,Automobile dealers,297796
2014,December,12,,Saskatchewan,,1,Automobile dealers,298233
2012,December,12,,Saskatchewan,,1,Automobile dealers,298903
2012,April,12,,Saskatchewan,,1,Automobile dealers,304450
2015,December,12,,Saskatchewan,,1,Automobile dealers,304868
2018,February,12,,Saskatchewan,,1,Automobile dealers,307046
2012,November,12,,Saskatchewan,,1,Automobile dealers,307698
2012,September,12,,Saskatchewan,,1,Automobile dealers,310574
2017,February,12,,Saskatchewan,,1,Automobile dealers,312558
2014,November,12,,Saskatchewan,,1,Automobile dealers,314750
2017,January,12,,Saskatchewan,,1,Automobile dealers,315321
2016,October,12,,Saskatchewan,,1,Automobile dealers,318061
2011,June,12,,Saskatchewan,,1,Automobile dealers,320886
2015,November,12,,Saskatchewan,,1,Automobile dealers,323396
2012,June,12,,Saskatchewan,,1,Automobile dealers,324587
2015,March,12,,Saskatchewan,,1,Automobile dealers,325837
2018,January,12,,Saskatchewan,,1,Automobile dealers,327209
2017,December,12,,Saskatchewan,,1,Automobile dealers,328486
2013,November,12,,Saskatchewan,,1,Automobile dealers,328704
2016,July,12,,Saskatchewan,,1,Automobile dealers,328936
2012,May,12,,Saskatchewan,,1,Automobile dealers,329946
2012,October,12,,Saskatchewan,,1,Automobile dealers,342949
2016,May,12,,Saskatchewan,,1,Automobile dealers,343801
2012,July,12,,Saskatchewan,,1,Automobile dealers,344220
2014,March,12,,Saskatchewan,,1,Automobile dealers,346809
2012,August,12,,Saskatchewan,,1,Automobile dealers,349611
2016,November,12,,Saskatchewan,,1,Automobile dealers,349871
2016,April,12,,Saskatchewan,,1,Automobile dealers,354186
2013,September,12,,Saskatchewan,,1,Automobile dealers,354479
2018,March,12,,Saskatchewan,,1,Automobile dealers,354631
2013,July,12,,Saskatchewan,,1,Automobile dealers,356029
2017,April,12,,Saskatchewan,,1,Automobile dealers,356264
2017,September,12,,Saskatchewan,,1,Automobile dealers,357326
2016,March,12,,Saskatchewan,,1,Automobile dealers,359230
2016,September,12,,Saskatchewan,,1,Automobile dealers,360885
2013,August,12,,Saskatchewan,,1,Automobile dealers,361739
2014,June,12,,Saskatchewan,,1,Automobile dealers,363204
2015,August,12,,Saskatchewan,,1,Automobile dealers,363412
2016,August,12,,Saskatchewan,,1,Automobile dealers,364171
2013,October,12,,Saskatchewan,,1,Automobile dealers,366191
2015,May,12,,Saskatchewan,,1,Automobile dealers,366567
2015,October,12,,Saskatchewan,,1,Automobile dealers,369599
2015,April,12,,Saskatchewan,,1,Automobile dealers,369834
2017,November,12,,Saskatchewan,,1,Automobile dealers,371346
2015,June,12,,Saskatchewan,,1,Automobile dealers,375590
2014,October,12,,Saskatchewan,,1,Automobile dealers,375708
2014,August,12,,Saskatchewan,,1,Automobile dealers,375744
2013,April,12,,Saskatchewan,,1,Automobile dealers,377263
2015,July,12,,Saskatchewan,,1,Automobile dealers,377886
2014,April,12,,Saskatchewan,,1,Automobile dealers,378091
2015,September,12,,Saskatchewan,,1,Automobile dealers,378424
2013,May,12,,Saskatchewan,,1,Automobile dealers,378565
2013,June,12,,Saskatchewan,,1,Automobile dealers,384678
2018,May,12,,Saskatchewan,,1,Automobile dealers,388467
2016,June,12,,Saskatchewan,,1,Automobile dealers,390727
2014,July,12,,Saskatchewan,,1,Automobile dealers,392391
2014,September,12,,Saskatchewan,,1,Automobile dealers,394686
2014,May,12,,Saskatchewan,,1,Automobile dealers,397550
2018,April,12,,Saskatchewan,,1,Automobile dealers,402137
2017,July,12,,Saskatchewan,,1,Automobile dealers,419562
2017,October,12,,Saskatchewan,,1,Automobile dealers,430225
2017,August,12,,Saskatchewan,,1,Automobile dealers,443796
2017,May,12,,Saskatchewan,,1,Automobile dealers,444847
2017,June,12,,Saskatchewan,,1,Automobile dealers,449943
2017,March,12,,Saskatchewan,,1,Automobile dealers,474311
2009,February,1,,Alberta,,1,Automobile dealers,686829
2009,November,1,,Alberta,,1,Automobile dealers,810629
2010,January,1,,Alberta,,1,Automobile dealers,814846
2008,December,1,,Alberta,,1,Automobile dealers,819962
2009,January,1,,Alberta,,1,Automobile dealers,827019
2010,February,1,,Alberta,,1,Automobile dealers,832546
2011,February,1,,Alberta,,1,Automobile dealers,841383
2011,January,1,,Alberta,,1,Automobile dealers,846870
2009,December,1,,Alberta,,1,Automobile dealers,869314
2009,March,1,,Alberta,,1,Automobile dealers,873445
2009,August,1,,Alberta,,1,Automobile dealers,906742
2008,November,1,,Alberta,,1,Automobile dealers,908189
2009,April,1,,Alberta,,1,Automobile dealers,923971
2009,September,1,,Alberta,,1,Automobile dealers,930191
2009,October,1,,Alberta,,1,Automobile dealers,946838
2010,December,1,,Alberta,,1,Automobile dealers,950472
2009,May,1,,Alberta,,1,Automobile dealers,960014
2008,February,1,,Alberta,,1,Automobile dealers,985729
2009,July,1,,Alberta,,1,Automobile dealers,991573
2012,January,1,,Alberta,,1,Automobile dealers,991791
2010,October,1,,Alberta,,1,Automobile dealers,1000140
2012,February,1,,Alberta,,1,Automobile dealers,1015838
2010,November,1,,Alberta,,1,Automobile dealers,1024577
2009,June,1,,Alberta,,1,Automobile dealers,1030925
2008,January,1,,Alberta,,1,Automobile dealers,1036752
2010,April,1,,Alberta,,1,Automobile dealers,1039292
2010,May,1,,Alberta,,1,Automobile dealers,1059310
2011,December,1,,Alberta,,1,Automobile dealers,1063276
2008,August,1,,Alberta,,1,Automobile dealers,1065793
2008,October,1,,Alberta,,1,Automobile dealers,1070953
2008,September,1,,Alberta,,1,Automobile dealers,1081287
2010,September,1,,Alberta,,1,Automobile dealers,1083247
2010,March,1,,Alberta,,1,Automobile dealers,1088075
2010,August,1,,Alberta,,1,Automobile dealers,1090307
2011,July,1,,Alberta,,1,Automobile dealers,1110370
2010,July,1,,Alberta,,1,Automobile dealers,1123186
2011,March,1,,Alberta,,1,Automobile dealers,1127968
2012,December,1,,Alberta,,1,Automobile dealers,1137045
2010,June,1,,Alberta,,1,Automobile dealers,1145531
2011,April,1,,Alberta,,1,Automobile dealers,1147677
2011,November,1,,Alberta,,1,Automobile dealers,1150910
2008,March,1,,Alberta,,1,Automobile dealers,1159243
2015,February,1,,Alberta,,1,Automobile dealers,1166880
2011,September,1,,Alberta,,1,Automobile dealers,1173980
2011,October,1,,Alberta,,1,Automobile dealers,1175977
2008,June,1,,Alberta,,1,Automobile dealers,1179333
2016,January,1,,Alberta,,1,Automobile dealers,1181867
2013,February,1,,Alberta,,1,Automobile dealers,1186633
2008,July,1,,Alberta,,1,Automobile dealers,1187934
2011,May,1,,Alberta,,1,Automobile dealers,1196081
2013,January,1,,Alberta,,1,Automobile dealers,1207563
2011,August,1,,Alberta,,1,Automobile dealers,1215240
2008,May,1,,Alberta,,1,Automobile dealers,1227879
2012,April,1,,Alberta,,1,Automobile dealers,1233808
2015,January,1,,Alberta,,1,Automobile dealers,1249701
2008,April,1,,Alberta,,1,Automobile dealers,1257343
2012,March,1,,Alberta,,1,Automobile dealers,1260457
2016,February,1,,Alberta,,1,Automobile dealers,1265510
2016,December,1,,Alberta,,1,Automobile dealers,1272938
2014,February,1,,Alberta,,1,Automobile dealers,1277062
2011,June,1,,Alberta,,1,Automobile dealers,1286275
2013,December,1,,Alberta,,1,Automobile dealers,1294798
2015,December,1,,Alberta,,1,Automobile dealers,1310964
2012,November,1,,Alberta,,1,Automobile dealers,1320774
2012,July,1,,Alberta,,1,Automobile dealers,1343727
2018,January,1,,Alberta,,1,Automobile dealers,1352941
2018,February,1,,Alberta,,1,Automobile dealers,1359556
2012,September,1,,Alberta,,1,Automobile dealers,1362154
2017,December,1,,Alberta,,1,Automobile dealers,1366448
2017,January,1,,Alberta,,1,Automobile dealers,1367126
2014,January,1,,Alberta,,1,Automobile dealers,1368250
2012,October,1,,Alberta,,1,Automobile dealers,1368888
2013,March,1,,Alberta,,1,Automobile dealers,1379220
2017,February,1,,Alberta,,1,Automobile dealers,1394896
2012,June,1,,Alberta,,1,Automobile dealers,1416414
2014,December,1,,Alberta,,1,Automobile dealers,1424312
2013,November,1,,Alberta,,1,Automobile dealers,1426330
2016,July,1,,Alberta,,1,Automobile dealers,1429761
2015,November,1,,Alberta,,1,Automobile dealers,1444722
2012,August,1,,Alberta,,1,Automobile dealers,1450435
2016,October,1,,Alberta,,1,Automobile dealers,1460213
2016,March,1,,Alberta,,1,Automobile dealers,1463894
2014,November,1,,Alberta,,1,Automobile dealers,1472066
2017,November,1,,Alberta,,1,Automobile dealers,1478927
2012,May,1,,Alberta,,1,Automobile dealers,1495859
2015,March,1,,Alberta,,1,Automobile dealers,1496481
2016,November,1,,Alberta,,1,Automobile dealers,1498402
2013,September,1,,Alberta,,1,Automobile dealers,1539787
2016,May,1,,Alberta,,1,Automobile dealers,1547062
2015,April,1,,Alberta,,1,Automobile dealers,1550658
2015,August,1,,Alberta,,1,Automobile dealers,1555088
2016,April,1,,Alberta,,1,Automobile dealers,1557192
2016,August,1,,Alberta,,1,Automobile dealers,1560993
2014,March,1,,Alberta,,1,Automobile dealers,1565333
2016,September,1,,Alberta,,1,Automobile dealers,1566911
2013,October,1,,Alberta,,1,Automobile dealers,1594964
2015,May,1,,Alberta,,1,Automobile dealers,1600438
2013,July,1,,Alberta,,1,Automobile dealers,1600507
2015,June,1,,Alberta,,1,Automobile dealers,1604963
2013,August,1,,Alberta,,1,Automobile dealers,1610794
2015,October,1,,Alberta,,1,Automobile dealers,1613829
2018,April,1,,Alberta,,1,Automobile dealers,1616918
2013,June,1,,Alberta,,1,Automobile dealers,1618772
2016,June,1,,Alberta,,1,Automobile dealers,1619389
2015,July,1,,Alberta,,1,Automobile dealers,1620737
2013,April,1,,Alberta,,1,Automobile dealers,1636202
2017,April,1,,Alberta,,1,Automobile dealers,1668252
2014,April,1,,Alberta,,1,Automobile dealers,1672797
2014,August,1,,Alberta,,1,Automobile dealers,1676121
2015,September,1,,Alberta,,1,Automobile dealers,1677927
2017,July,1,,Alberta,,1,Automobile dealers,1708804
2014,June,1,,Alberta,,1,Automobile dealers,1726700
2017,March,1,,Alberta,,1,Automobile dealers,1730339
2013,May,1,,Alberta,,1,Automobile dealers,1740007
2018,March,1,,Alberta,,1,Automobile dealers,1757330
2017,October,1,,Alberta,,1,Automobile dealers,1757402
2014,October,1,,Alberta,,1,Automobile dealers,1765442
2014,May,1,,Alberta,,1,Automobile dealers,1790207
2017,September,1,,Alberta,,1,Automobile dealers,1790366
2017,August,1,,Alberta,,1,Automobile dealers,1801187
2014,September,1,,Alberta,,1,Automobile dealers,1814662
2014,July,1,,Alberta,,1,Automobile dealers,1826640
2017,May,1,,Alberta,,1,Automobile dealers,1914099
2018,May,1,,Alberta,,1,Automobile dealers,1952233
2017,June,1,,Alberta,,1,Automobile dealers,1976949
2009,February,2,,British Columbia,,1,Automobile dealers,548838
2008,December,2,,British Columbia,,1,Automobile dealers,579856
2008,November,2,,British Columbia,,1,Automobile dealers,602544
2009,January,2,,British Columbia,,1,Automobile dealers,603150
2010,February,2,,British Columbia,,1,Automobile dealers,627994
2011,January,2,,British Columbia,,1,Automobile dealers,647227
2009,March,2,,British Columbia,,1,Automobile dealers,660514
2010,January,2,,British Columbia,,1,Automobile dealers,663936
2009,November,2,,British Columbia,,1,Automobile dealers,665802
2011,February,2,,British Columbia,,1,Automobile dealers,672020
2008,October,2,,British Columbia,,1,Automobile dealers,695482
2009,April,2,,British Columbia,,1,Automobile dealers,698779
2008,January,2,,British Columbia,,1,Automobile dealers,732599
2013,February,2,,British Columbia,,1,Automobile dealers,736201
2008,February,2,,British Columbia,,1,Automobile dealers,737171
2010,December,2,,British Columbia,,1,Automobile dealers,738512
2012,January,2,,British Columbia,,1,Automobile dealers,741942
2009,September,2,,British Columbia,,1,Automobile dealers,746666
2010,October,2,,British Columbia,,1,Automobile dealers,751058
